,level_0,index,CASEID,POINT_X,POINT_Y,YEAR_,LOCATION,CHPTYPE,DAYWEEK,CRASHSEV,VIOLCAT,KILLED,INJURED,WEATHER1,PEDCOL,BICCOL,MCCOL,TRUCKCOL,ETOH,TIMECAT,MONTH_,CRASHTYP,INVOLVE,PED,PRIMARYRD,SECONDRD,DISTANCE,DIRECT,INTERSECT_,PROCDATE,JURIS,DATE_,TIME_,BADGE,JURIDIST,SHIFT,POP,SPECIAL,BEATTYPE,LAPDDIV,BEATCLAS,BEATNUMB,WEATHER2,STATEHW,CALTRANC,CALTRAND,STROUTE,ROUTESUF,POSTPRE,POSTMILE,LOCATYPE,RAMP,SIDEHW,TOWAWAY,PARTIES,PCF,VIOLCODE,VIOL,VIOLSUB,HITRUN,ROADSURF,RDCOND1,RDCOND2,LIGHTING,RIGHTWAY,CHPRDTYP,NOTPRIV,STFAULT,CHPFAULT,SEVINJ,OTHERINJ,COP,PEDKILL,PEDINJ,BICKILL,BICINJ,MCKILL,MCINJURE,RAMP1,RAMP2,CITY,COUNTY,STATE,X_CHP,Y_CHP,AvgVAGE,VAGE_Minor,VAGE_Working,VAGE_Senior,MobilLimAge,F_M_VSEX,F_F_VSEX,F_A_PRACE,F_H_PRACE,F_W_PRACE,F_O_PRACE,F_B_PRACE,F_E_MOVEMENT,F_B_MOVEMENT,F_A_MOVEMENT,F_D_MOVEMENT,F_P_MOVEMENT,F_O_MOVEMENT,F_H_MOVEMENT,F_L_MOVEMENT,F_F_MOVEMENT,F_R_MOVEMENT,F_J_MOVEMENT,F_Q_MOVEMENT,F_G_MOVEMENT,F_C_MOVEMENT,F_M_MOVEMENT,F_N_MOVEMENT,F_K_MOVEMENT,F_I_MOVEMENT,F_A_VEHTYPE,F_I_VEHTYPE,F_L_VEHTYPE,F_D_VEHTYPE,F_C_VEHTYPE,F_N_VEHTYPE,F_F_VEHTYPE,F_J_VEHTYPE,F_G_VEHTYPE,F_B_VEHTYPE,F_M_VEHTYPE,F_E_VEHTYPE,F_H_VEHTYPE,PrimeModeClass
12,12,12,2422505,-122.054726027,37.3786964417,2006,4316,0,2,4,08,0,3,A,,,,,,600,1,A,E,A,BERNARDO,MCKINLEY,15,S,N,2006-05-25,4316,2006-01-10,559,14977,31,5,6,0,0,,0,003,-,N,,0,0,,,0.0,,,,Y,3,A,-,22107,,N,A,H,-,C,D,0,Y,A,01,0,0,3,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,11.0,2.0,1.0,,2.0,2.0,1.0,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,Motor Vehicle
13,13,13,2422513,-122.047583748,37.3746032715,2006,4316,0,4,4,09,0,1,A,,,,,,900,1,D,C,A,MARY,SUTTER AV,144,S,N,2006-06-05,4316,2006-01-12,707,26616,,5,6,0,0,,0,003,-,N,,0,0,,,0.0,,,,Y,3,A,-,21804,A,N,A,H,-,A,D,0,Y,A,07,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,21.333333333333332,2.0,1.0,,2.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,Motor Vehicle
14,14,14,2426773,-121.996023056,37.3869056702,2006,4316,4,2,4,03,0,1,B,,,,,,1200,1,C,C,A,LAWRENCE EXPWY,DUANE AV,30,N,N,2006-05-11,9340,2006-01-03,1100,14436,,1,6,0,2,,2,620,-,N,,0,0,,,0.0,,,,N,2,A,-,22350,,N,A,H,-,A,A,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,36.0,,1.0,,,,1.0,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
15,15,15,2430247,-121.815976777,37.302480206,2006,4316,2,3,4,03,0,2,B,,,,,,300,1,C,C,A,RT 101,LAWRENCE EXPWY,250,S,N,2006-06-12,9340,2006-01-04,200,01801,,3,6,0,1,,2,120,-,Y,SCL,4,101,-,-,31.554000000000002,R,2,N,Y,2,A,-,22350,,F,A,H,-,D,D,1,Y,-,99,0,0,2,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,18.333333333333332,,3.0,,,,3.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,Motor Vehicle
16,16,16,2443328,-121.99629496799999,37.373775482199996,2006,4316,4,1,4,03,0,1,B,,,,,,1500,1,C,C,A,LAWRENCE EXPWY,KIFER RD,55,S,N,2006-05-26,9340,2006-01-09,1335,01743,,1,6,0,2,,2,610,-,N,,0,0,,,0.0,,,,N,2,A,-,22350,,N,A,H,-,A,D,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,18.333333333333332,2.0,1.0,,2.0,2.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
17,17,17,2443351,-122.02255306100001,37.397904983000004,2006,4316,2,2,4,03,0,1,B,,,,,,900,1,C,C,A,RT 101,MATHILDA AV,1100,S,N,2006-05-23,9340,2006-01-10,740,01424,,1,6,0,1,,2,120,-,Y,SCL,4,101,-,-,45.47,H,-,N,Y,4,A,-,22350,,N,A,H,-,A,D,1,Y,D,22,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,45.0,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,Motor Vehicle
18,18,18,2443361,-122.036702867,37.382976532,2006,4316,0,2,4,03,0,1,A,,,Y,,,1200,1,C,C,A,CALIFORNIA,PASTORIA,18,E,N,2006-05-06,4316,2006-01-17,1130,14379,1,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,N,2,A,-,22350,,N,A,H,-,A,D,0,Y,-,-,0,0,1,0,0,0,0,0,1,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,32.0,,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,Motor Vehicle
19,19,19,2443365,-122.010807925,37.4092750549,2006,4316,0,2,4,09,0,1,A,,,,,,1500,1,D,C,A,CROSSMAN,JAVA,300,N,N,2006-05-06,4316,2006-01-17,1230,14379,,5,6,0,0,,0,002,-,N,,0,0,,,0.0,,,,Y,2,A,-,21804,A,N,A,H,-,A,D,0,Y,A,07,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,39.0,,1.0,,,1.0,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
20,20,20,2443405,-122.014233053,37.3379898071,2006,4316,0,7,4,03,0,1,A,,,,,,2100,1,C,C,A,WOLFE RD,HOMESTEAD RD,100,N,N,2006-05-05,4316,2006-01-15,1800,14456,62,5,6,0,0,,0,006,-,N,,0,0,,,0.0,,,,N,2,A,-,22350,,N,A,H,-,C,D,0,Y,A,07,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,51.0,,4.0,,,2.0,2.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
21,21,21,2443421,-122.002759481,37.395957946799996,2006,4316,0,5,4,03,0,1,B,,,,,,2400,1,D,C,A,LAKEHAVEN DR,MEADOWLAKE DR,245,E,N,2006-05-06,4316,2006-01-13,2110,14373,24,5,6,0,0,,0,002,-,N,,0,0,,,0.0,,,,Y,2,A,-,22350,,M,A,H,-,C,D,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,27.0,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
22,22,22,2443476,-122.014213054,37.3521842957,2006,4316,0,3,4,12,0,1,A,,,,,,1200,1,D,C,A,WOLFE RD,FREMONT AV,0,,Y,2006-06-02,4316,2006-01-18,1016,82170,62,5,6,0,0,,0,006,-,N,,0,0,,,0.0,,,,Y,3,A,-,21453,A,N,A,H,-,A,A,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,59.0,,1.0,,,,1.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
23,23,23,2443479,-122.056935605,37.373991716,2006,4316,0,7,4,03,0,1,A,,,,,,1500,1,C,C,A,RT 82,BERNARDO AV,220,W,N,2006-05-25,4316,2006-01-22,1323,14399,51,5,6,0,0,,0,005,-,Y,SCL,4,82,-,-,18.18,H,-,S,Y,2,A,-,22350,,N,A,H,-,A,A,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,34.0,,1.0,,,,1.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
24,24,24,2443492,-122.03281195,37.382232666,2006,4316,0,3,4,03,0,1,B,,,,,,1200,1,C,C,A,MATHILDA,CALIFORNIA,25,N,N,2006-05-05,4316,2006-01-18,1100,14379,1,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,N,2,A,-,22350,,N,B,H,-,A,A,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,66.5,,1.0,1.0,1.0,,2.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
25,25,25,2443511,-122.044173059,37.35206604,2006,4316,0,5,4,09,0,1,B,,,,,,900,1,D,C,A,FREMONT,NELSON,0,,Y,2006-05-05,4316,2006-01-20,811,10043,52,5,6,0,0,,0,005,-,N,,0,0,,,0.0,,,,Y,2,A,-,21802,A,N,A,H,-,A,A,0,Y,-,-,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,62.0,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor Vehicle
26,26,26,2446347,-122.05263994799999,37.37292749,2006,4316,0,4,3,09,0,1,A,Y,,,,,1200,1,D,B,F,RT 82,GRAPE AV,100,E,N,2006-05-25,4316,2006-01-26,1050,11145,51,5,6,0,0,,0,005,-,Y,SCL,4,82,-,-,17.93,H,-,N,N,2,A,-,21804,A,N,A,H,-,A,A,0,Y,A,01,0,1,0,0,1,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,64.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,Pedestrian
27,27,27,2446375,-122.028398466,37.3778648376,2006,4316,0,5,4,03,0,1,A,,,,,,1800,1,C,C,A,SUNNYVALE AV,EVELYN AV,250,S,N,2006-05-05,4316,2006-01-27,1530,14396,34,5,6,0,0,,0,003,-,N,,0,0,,,0.0,,,,N,2,A,-,22350,,N,A,H,-,A,A,0,Y,D,22,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,68.0,,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,Motor Vehicle
28,28,28,2446395,-122.030003061,37.391963958699996,2006,4316,0,7,3,01,0,1,C,,,,,Y,300,1,A,I,A,MATHILDA AV,DEL REY CT,0,,Y,2006-05-05,4316,2006-01-29,230,13539,13,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,Y,1,A,-,23153,,N,B,H,-,C,A,0,Y,A,07,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,47.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,Motor Vehicle
29,29,29,2446809,-122.02584853100001,37.4033950707,2006,4316,3,6,4,08,0,1,C,,,,,,1200,1,E,I,A,RT 237,MATHILDA AV,100,E,N,2006-05-25,9340,2006-01-14,1130,01521,,1,6,0,1,,2,220,-,Y,SCL,4,237,-,-,3.04,H,-,W,Y,1,A,-,22107,,N,B,H,-,A,D,1,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,25.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,Motor Vehicle
30,30,30,2446865,-122.05887298,37.3357234117,2006,4316,3,6,4,03,0,1,B,,,,,Y,300,1,E,I,A,RT 85,RT 280,150,N,N,2006-05-26,9340,2006-01-14,130,01722,,3,6,0,1,,2,085,C,Y,SCL,4,85,-,R,18.672,R,2,S,Y,1,A,-,22350,,N,B,H,-,D,D,6,Y,A,07,0,0,1,0,0,0,0,0,0,T,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,33.0,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,Motor Vehicle
31,31,31,2449041,-122.030547981,37.3902053833,2006,4316,0,1,3,03,0,1,A,,,,,,2100,1,E,I,A,MATHILDA AV,MAUDE AV,183,N,N,2006-05-05,4316,2006-01-23,1813,14378,14,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,Y,1,A,-,22350,,N,A,H,-,C,D,0,Y,A,01,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,52.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,Motor Vehicle
32,32,32,2449061,-122.03071306,37.3816757202,2006,4316,0,5,3,09,0,1,A,,,,,,1800,1,D,C,A,CALIFORNIA AV,SAN ANSELMO WY,0,,Y,2006-05-05,4316,2006-01-27,1528,14396,16,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,Y,2,A,-,21801,A,N,A,H,-,A,A,0,Y,A,01,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,63.0,,1.0,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
33,33,33,2449077,-121.990489597,37.4056968689,2006,4316,0,2,3,08,0,1,A,,,Y,,,2100,1,H,J,A,HAMMERWOOD AV,ELKO DR,250,S,N,2006-05-05,4316,2006-01-24,1845,14465,23,5,6,0,0,,0,002,-,N,,0,0,,,0.0,,,,N,1,A,-,22107,,N,A,H,-,C,D,0,Y,C,02,0,1,0,0,0,0,0,0,1,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,31.0,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Motor Vehicle
34,34,34,2460745,-122.02168337299999,37.404145407600005,2006,4316,3,3,4,03,0,1,C,,,,,,900,1,B,C,A,RT 237,MATHILDA AV,1056,E,N,2006-06-08,9340,2006-01-18,825,01208,,1,6,0,1,,2,220,-,Y,SCL,4,237,-,-,3.22,H,-,W,Y,2,A,-,22350,,N,B,H,-,A,D,1,Y,A,07,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,43.5,,2.0,,,1.0,1.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,Motor Vehicle
35,35,35,2461288,-121.99176964200001,37.389854429,2006,4316,2,1,3,07,0,1,A,,,,,,900,1,B,C,A,RT 101,LAWRENCE EXPWY,500,S,N,2006-05-24,9340,2006-01-23,800,01622,,1,6,0,1,,2,120,-,Y,SCL,4,101,-,-,43.77,H,-,S,Y,2,A,-,21658,A,N,A,H,-,A,D,1,Y,A,01,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,34.5,,2.0,,,,2.0,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
36,36,36,2463135,-121.995995194,37.3818969727,2006,4316,4,2,4,03,0,1,A,,,,,,900,1,C,C,A,LAWRENCE EXPWY,ARQUES AV,528,N,N,2006-05-22,9340,2006-01-31,855,01208,,1,6,0,2,,2,620,-,N,,0,0,,,0.0,,,,Y,4,A,-,22350,,N,A,H,-,A,D,0,Y,A,07,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,39.0,,1.0,,,,1.0,3.0,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,Motor Vehicle
37,37,37,2463281,-122.00539869,37.352300332,2006,4316,0,1,3,12,0,1,A,,,,,,2100,2,D,C,A,RT 82,HENDERSON AV,0,,Y,2006-06-23,4316,2006-02-06,1910,14456,43,5,6,0,0,,0,004,-,Y,SCL,4,82,-,-,14.832,I,5,N,Y,2,A,-,21453,A,N,A,H,-,C,A,0,Y,A,01,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,3.0,2.0,,,2.0,,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
38,38,38,2463285,-122.03677077,37.36902313,2006,4316,0,1,4,12,0,1,A,,,,,,1800,2,D,C,A,RT 82,MATHILDA AV,0,,Y,2006-06-16,4316,2006-02-06,1711,14956,52,5,6,0,0,,0,005,-,Y,SCL,4,82,-,-,17.035,I,5,S,Y,2,A,-,21453,A,N,A,H,-,C,A,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,51.0,,1.0,,,,1.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
