"CASEID","PARNUM","PTYPE","ATFAULT","PSEX","PAGE","PSOBER","PDRUG","PDIRECT","PSAFETY1","PSAFETY2","INSURED","HAZARD","CELL","SBUS","PVIOLCOD","PVIOLCAT","PVIOL","PVIOLSUF","OAF1","OAF2","PKILLED","PINJURED","MOVEMENT","VEHYEAR","VEHMAKE","VEHTYPE","CHPTYPE1","CHPTYPE2","PRACE","INATTN","TRUCKCMB","TRAILRCMB","YEAR_"
"2443479",2,"1","N","M",34,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",2006,"CHRYSLER","A","1","0","W",,"-","-",2006
"2443492",2,"1","N","F",50,"A","-","S","M","G","Y","-","-","-","-","-",,,"N","-",0,1,"A",1995,"ACURA","A","1","0","A",,"-","-",2006
"2443492",1,"1","Y","M",93,"A","-","S","M","G","Y","-","-","-","-","-",,,"N","-",0,0,"H",2005,"HYUNDAI","A","1","0","W",,"-","-",2006
"2443511",2,"1","N","F",62,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",2000,"HONDA","-","-","0","A",,"-","-",2006
"2443511",1,"1","Y","M",42,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"E",1997,"SAAB","-","-","0","W",,"-","-",2006
"2446347",1,"1","Y","M",42,"A","-","N","M","G","N","-","3","-","-","-",,,"N","-",0,0,"L",1984,"TOYOTA","A","1","0",,,"-","-",2006
"2446347",2,"2","N","F",64,"A","-","E","-","-","O","-","3","-","-","-",,,"N","-",0,1,"-",,"-","N","60","0",,,"-","-",2006
"2446375",1,"1","Y","M",44,"A","-","N","M","C","Y","-","3","-","-","-",,,"N","-",0,0,"B",1976,"CHEVROLET","D","22","0","W",,"-","-",2006
"2446375",2,"1","N","M",68,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",1988,"HYUNDAI","A","1","0","B",,"-","-",2006
"2446395",1,"1","Y","F",38,"B","-","N","L","G","Y","-","3","-",,"31",22107,,"A","N",0,1,"B",2002,"HONDA","A","7","0","W",,"-","-",2006
"2446809",1,"1","Y","M",25,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"R",2003,"BMW","A","1","0","O",,"-","-",2006
"2446865",1,"1","Y","M",33,"C","-","S","L","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",2003,"HONDA","A","7","0","H",,"-","-",2006
"2449041",1,"1","Y","M",52,"A","-","N","L","G",,"-","-","-","-","-",,,"M","-",0,1,"B",1994,"BMW","A","1","0","W",,"-","-",2006
"2449061",2,"1","N","M",33,"A","-","W","L","G","Y","-","1","-","-","-",,,"N","-",0,0,"B",1995,"ACURA","A","1","0","H",,"-","-",2006
