"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5852540",-122.027883025,37.3678149103,2012,"4316","0","5","3","12",0,1,"A",,"Y",,,,1500,4,"H","G","A","OLD SAN FRANCISCO RD","CEZANNE DR",0,,"Y","2013-10-23",4316,"2012-04-06",1252,"18051","34","5","6","0","0",,"0","003","-","N",,0,0,,,0,,,,,2,"A","-",22450,"A","N","A","H","-","A","A","0","Y","-","-",0,1,0,0,0,0,1,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852539",-122.007963014,37.3511449445,2012,"4316","0","5","4","09",0,1,"A",,"Y",,,,900,4,"D","G","A","POPLAR AV","BRYANT ST",0,,"Y","2013-08-17",4316,"2012-04-06",757,"56593","63","5","6","0","0",,"0","006","-","N",,0,0,,,0,,,,,2,"A","-",21801,"A","N","A","H","-","A","A","0","Y","L","04",0,0,1,0,0,0,1,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852538",-122.032453064,37.3553048199,2012,"4316","0","3","4","03",0,1,"B",,,,,,1800,4,"C","C","A","SUNNYVALE SARATOGA RD","WESTSIDE AV",0,,"Y","2013-08-17",4316,"2012-04-25",1555,"14317","52","5","6","0","0",,"0","005","-","N",,0,0,,,0,,,,,3,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852536",-122.032423108,37.3405106378,2012,"4316","0","4","3","11",0,1,"C","Y","Y",,,,1800,4,"G","B","D","SUNNYVALE SARATOGA RD","LA CONNER DR",195,"N","N","2013-08-17",4316,"2012-04-26",1752,"14456",,"5","6","0","0",,"0",,"-","N",,0,0,,,0,,,,,2,"A","-",21955,,"N","B","H","-","A","D","0","Y","N","60",0,1,0,0,1,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852535",-122.019907805,37.3771685081,2012,"4316","0","3","3","03",0,2,"B",,,,,,300,4,"E","I","A","FAIR OAKS AV","KIFER RD",20,"N","N","2013-08-17",4316,"2012-04-11",141,"15949","16","5","6","0","0",,"0","001","C","N",,0,0,,,0,,,,,1,"A","-",22350,,"N","B","H","-","C","A","0","Y","A","01",0,1,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852534",-122.032423108,37.3405106378,2012,"4316","0","3","3","11",0,1,"C","Y","Y",,,,1800,4,"G","B","D","SUNNYVALE SARATOGA RD","LA CONNER DR",195,"N","N","2013-08-17",4316,"2012-04-25",1745,"14456",,"5","6","0","0",,"0",,"-","N",,0,0,,,0,,,,,2,"A","-",21955,,"N","B","H","-","A","D","0","Y","N","60",0,1,0,0,1,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852532",-121.996400795,37.3739249409,2012,"4316","0","5","4","01",0,1,"A",,,,,"Y",2400,4,"E","I","A","KIFER RD","LAWRENCE EXPY",40,"W","N","2013-08-17",4316,"2012-04-13",2138,"17469",,"5","6","0","0",,"0",,"-","N",,0,0,,,0,,,,"Y",1,"A","-",23152,"A","N","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852531",-122.027883025,37.3678149103,2012,"4316","0","4","3","12",0,1,"A",,"Y",,,,1500,4,"G","G","A","OLD SAN FRANCISCO RD","CEZANNE DR",0,,"Y","2013-08-17",4316,"2012-04-05",1252,"18051","34","5","6","0","0",,"0","003","-","N",,0,0,,,0,,,,,2,"A","-",22450,"A","N","A","H","-","A","A","0","Y","-","-",0,1,0,0,0,0,1,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852530",-122.032883054,37.3642849157,2012,"4316","0","1","3","09",0,2,"A",,,,,,1200,4,"D","C","A","SUNNYVALE SARATOGA","MATHILDA",0,,"Y","2013-08-17",4316,"2012-04-30",1026,"56593","52","5","6","0","0",,"0","003","-","N",,0,0,,,0,,,,,2,"A","-",21453,"C","N","A","H","-","A","A","0","Y","A","01",0,1,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852529",-122.019102974,37.3523150156,2012,"4316","0","4","4","10",0,1,"A","Y",,,,,1800,4,"A","B","B","E FREMONT AV","ARLEEN AV",0,,"Y","2013-08-17",4316,"2012-04-05",1502,"14189","61","5","6","0","0",,"0","006","-","N",,0,0,,,0,,,,,2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","-","-",0,0,1,0,1,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
